# XDI/1.1
# Column.1: energy eV
# Column.2: norm
# Column.3: ifluor
# Column.4: i0
# Column.5: angle_drive
# Column.6: angle_read
# Column.7: time
# Mono :   Si(111)       D=  3.13551 A    Initial angle= 13.93250 deg
# BL9A      Fluorescence( 3)   Repetition=  1     Points= 1426
# Param file : Std-EXAFS       energy axis(2)     Block =    6
# Block      Init-Eng  Final-Eng      Step/eV     Time/s       Num
# 1        6606.20   7061.20         6.50       1.00        70
# 2        7061.20   7076.20         1.00       1.00        15
# 3        7076.20   7181.20         0.10       2.00      1050
# 4        7181.20   7211.20         1.00       2.00        30
# 5        7211.20   7611.20         2.50       3.00       160
# 6        7611.20   8211.20         6.00       3.00       101
# Ortec(-1)     NDCH = 3
# Angle(c)  Angle(o)    time/s         2         3
# Mode         0         0         1         3
# Offset         0         0  7753.700  7157.100
# Process.program: xraylarch
# Process.version: 0.9.80
# Process.command: pre_edge(data, nvict=0, pre1=-150, pre2=-50, norm1=150, norm2=750, make_flat=True)
# Process.step1: energy = col1    # column 1: energy (eV)
# Process.step2: ifluor = col3    # column 3: fluorescence intensity
# Process.step3: i0     = col4    # column 4: incident beam intensity
# Process.step4: mu  = iflour/i0  
# Process.step5: edge_step =  0.098521351
# Process.step6: pre_edge = -0.027966096 +  4.853685e-6*energy
# Process.step7: intensity = norm = (mu - pre_edge) /edge_step
#---------------------------------
#  energy           norm             ifluor           i0               angle_drive      angle_read       time            
  6565.12779878    0.03979262106    14016.0000000    1792467.00000    17.4144600000    17.4144000000    1.00000000000
  6571.58952744    0.03850904977    13757.0000000    1781004.00000    17.3967900000    17.3970000000    1.00000000000
  6578.04994189    0.03661599781    13451.0000000    1777083.00000    17.3791600000    17.3791000000    1.00000000000
  6584.50899194    0.03558633264    13267.0000000    1769157.00000    17.3615700000    17.3618000000    1.00000000000
  6590.96662726    0.03388295473    12957.0000000    1759846.00000    17.3440200000    17.3439000000    1.00000000000
  6597.42648823    0.03129164240    12583.0000000    1762663.00000    17.3265000000    17.3269000000    1.00000000000
  6603.88484837    0.02950837980    12371.0000000    1768729.00000    17.3090200000    17.3088000000    1.00000000000
  6610.34536290    0.02855491618    12318.0000000    1777051.00000    17.2915700000    17.2917000000    1.00000000000
  6616.80428987    0.02714140418    12127.0000000    1777163.00000    17.2741600000    17.2741000000    1.00000000000
  6623.26529935    0.02525837859    11804.0000000    1769811.00000    17.2567800000    17.2570000000    1.00000000000
  6629.72463386    0.02268497826    11456.0000000    1776825.00000    17.2394400000    17.2393000000    1.00000000000
  6636.18597837    0.02136506437    11268.0000000    1774830.00000    17.2221300000    17.2223000000    1.00000000000
  6642.64555985    0.02054767168    11188.0000000    1775986.00000    17.2048600000    17.2048000000    1.00000000000
  6649.10332640    0.01836275435    10849.0000000    1773964.00000    17.1876300000    17.1877000000    1.00000000000
  6655.56298537    0.01828568365    10846.0000000    1766610.00000    17.1704300000    17.1704000000    1.00000000000
  6662.02450742    0.01607537167    10461.0000000    1757253.00000    17.1532600000    17.1531000000    1.00000000000
  6668.48408836    0.01487274183    10297.0000000    1755397.00000    17.1361300000    17.1364000000    1.00000000000
  6674.94167559    0.01342514805    10128.0000000    1759973.00000    17.1190400000    17.1188000000    1.00000000000
  6681.40100642    0.01285815778    10047.0000000    1753365.00000    17.1019800000    17.1020000000    1.00000000000
  6687.86205092    0.01210825014    9922.00000000    1744496.00000    17.0849500000    17.0849000000    1.00000000000
  6694.32097358    0.01094162103    9781.00000000    1745356.00000    17.0679600000    17.0679000000    1.00000000000
  6700.78153428    0.01014111792    9687.00000000    1743362.00000    17.0510000000    17.0510000000    1.00000000000
  6707.23988181    0.00912945921    9566.00000000    1743018.00000    17.0340800000    17.0340000000    1.00000000000
  6713.69979109    0.00842451713    9454.00000000    1734652.00000    17.0171900000    17.0174000000    1.00000000000
  6720.15739521    0.00856377433    9547.00000000    1737351.00000    17.0003400000    17.0002000000    1.00000000000
  6726.62032819    0.00793666898    9465.00000000    1732015.00000    16.9835100000    16.9835000000    1.00000000000
  6733.07702709    0.00707955445    9322.00000000    1722587.00000    16.9667300000    16.9669000000    1.00000000000
  6739.53899280    0.00671105176    9236.00000000    1708255.00000    16.9499700000    16.9498000000    1.00000000000
  6745.99848289    0.00665799728    9201.00000000    1693598.00000    16.9332500000    16.9333000000    1.00000000000
  6752.45544274    0.00639521810    8679.00000000    1595914.00000    16.9165700000    16.9167000000    1.00000000000
  6758.91758296    0.00586611691    9135.00000000    1686202.00000    16.8999100000    16.8998000000    1.00000000000
  6765.37711422    0.00553263905    9112.00000000    1682423.00000    16.8832900000    16.8833000000    1.00000000000
  6771.83787963    0.00565315793    9142.00000000    1674595.00000    16.8667000000    16.8668000000    1.00000000000
  6778.29594120    0.00464979898    8936.00000000    1657355.00000    16.8501500000    16.8501000000    1.00000000000
  6784.75515728    0.00452858405    8943.00000000    1652704.00000    16.8336300000    16.8335000000    1.00000000000
  6791.21549561    0.00416681994    8939.00000000    1653274.00000    16.8171400000    16.8172000000    1.00000000000
  6797.67299436    0.00365402821    8397.00000000    1558559.00000    16.8006900000    16.8008000000    1.00000000000
  6804.13547205    0.00367887497    8962.00000000    1653053.00000    16.7842600000    16.7842000000    1.00000000000
  6810.59502932    0.00340913897    9040.00000000    1665972.00000    16.7678700000    16.7679000000    1.00000000000
  6817.05160985    0.00251426448    8959.00000000    1668518.00000    16.7515200000    16.7515000000    1.00000000000
  6823.51307865    0.00207588481    8992.00000000    1678361.00000    16.7351900000    16.7353000000    1.00000000000
  6829.97148896    0.00247216112    9116.00000000    1679441.00000    16.7189000000    16.7187000000    1.00000000000
  6836.43076040    0.00233978171    9083.00000000    1667736.00000    16.7026400000    16.7027000000    1.00000000000
  6842.89085958    0.00223012870    9112.00000000    1666771.00000    16.6864100000    16.6866000000    1.00000000000
  6849.35175294    0.00165842995    9135.00000000    1678644.00000    16.6702100000    16.6700000000    1.00000000000
  6855.80940679    0.00152454264    9188.00000000    1682770.00000    16.6540500000    16.6541000000    1.00000000000
  6862.27177947    0.00174200794    9242.00000000    1676451.00000    16.6379100000    16.6379000000    1.00000000000
  6868.73082908    0.00126294921    9267.00000000    1685832.00000    16.6218100000    16.6219000000    1.00000000000
  6875.19052154    0.00094495896    9297.00000000    1691282.00000    16.6057400000    16.6058000000    1.00000000000
  6881.65082259    0.00051912162    9245.00000000    1685071.00000    16.5897000000    16.5895000000    1.00000000000
  6888.10765835    0.00082458895    9260.00000000    1669115.00000    16.5737000000    16.5738000000    1.00000000000
  6894.56906534    0.00042515516    9194.00000000    1659609.00000    16.5577200000    16.5577000000    1.00000000000
  6901.02692201    0.00085742153    9311.00000000    1658594.00000    16.5417800000    16.5418000000    1.00000000000
  6907.48929625    0.00005104407    9243.00000000    1660704.00000    16.5258600000    16.5260000000    1.00000000000
  6913.94803455    0.00056383536    9321.00000000    1650441.00000    16.5099800000    16.5098000000    1.00000000000
  6920.40715712    0.00090245824    9438.00000000    1652226.00000    16.4941300000    16.4941000000    1.00000000000
  6926.86662873    0.00112143154    9563.00000000    1658740.00000    16.4783100000    16.4784000000    1.00000000000
  6933.32641400    0.00053446251    9573.00000000    1668135.00000    16.4625200000    16.4626000000    1.00000000000
  6939.78647742   -0.00024342631    9486.00000000    1666122.00000    16.4467600000    16.4469000000    1.00000000000
  6946.24678333    0.00007165539    9595.00000000    1666997.00000    16.4310300000    16.4309000000    1.00000000000
  6952.70317700   -0.00041341165    9610.00000000    1674389.00000    16.4153400000    16.4155000000    1.00000000000
  6959.16385243   -0.00072703014    9579.00000000    1668854.00000    16.3996700000    16.3995000000    1.00000000000
  6965.62466258   -0.00009914932    9705.00000000    1663785.00000    16.3840300000    16.3841000000    1.00000000000
  6972.08142830   -0.00059831045    9701.00000000    1668201.00000    16.3684300000    16.3684000000    1.00000000000
  6978.54239115   -0.00014335590    9844.00000000    1670902.00000    16.3528500000    16.3529000000    1.00000000000
  6985.00337970    0.00037615345    9948.00000000    1665224.00000    16.3373000000    16.3374000000    1.00000000000
  6991.46019035   -0.00060373803    9906.00000000    1676491.00000    16.3217900000    16.3218000000    1.00000000000
  6997.92111232   -0.00045808851    9967.00000000    1673866.00000    16.3063000000    16.3064000000    1.00000000000
  7004.38194976    0.00021114079    10113.0000000    1671081.00000    16.2908400000    16.2907000000    1.00000000000
  7010.84266563   -0.00006782570    10121.0000000    1671333.00000    16.2754100000    16.2756000000    1.00000000000
  7017.29902360   -0.00094048609    10025.0000000    1670553.00000    16.2600200000    16.2598000000    1.00000000000
  7018.29437933    0.00039750201    10152.0000000    1654051.00000    16.2576500000    16.2577000000    1.00000000000
  7019.28582782   -0.00060373490    10064.0000000    1665170.00000    16.2552900000    16.2554000000    1.00000000000
  7020.28177128    0.00022867607    10213.0000000    1665886.00000    16.2529200000    16.2528000000    1.00000000000
  7021.27380527   -0.00041307319    10092.0000000    1661984.00000    16.2505600000    16.2506000000    1.00000000000
  7022.27033697    0.00041104067    10169.0000000    1651270.00000    16.2481900000    16.2482000000    1.00000000000
  7023.26295697    0.00022086698    10211.0000000    1661846.00000    16.2458300000    16.2460000000    1.00000000000
